,dataset,sample,NAT_source,ref_source,WGA_source,priority,strain,sample_accession,tax_id
,OLeary,AlmaEM3,,GCA_018069645.1,https://sra-pub-src-2.s3.amazonaws.com/SRR21131535/BB08.amplified_fast5s.tar.gz.1,0,AlmaEM3,SAMN18677605,644357
,OLeary,Bak1,https://sra-pub-src-2.s3.amazonaws.com/SRR21131474/Bak1.native_fast5s.tar.gz.1,GCA_009664125.2,,0,Bakersfield-1,SAMN11914553,644356
,OLeary,Bak8,https://sra-pub-src-1.s3.amazonaws.com/SRR21131514/Bak8.native_fast5s.tar.gz.1,GCA_015476035.1,https://sra-pub-src-1.s3.amazonaws.com/SRR21131512/Bak8.amplified_fast5s.tar.gz.1,0,Bakersfield-8,SAMN16582176,644356
,OLeary,Bak11_SRR21143303,https://sra-pub-src-1.s3.amazonaws.com/SRR21143303/Bak11.native_fast5s.tar.gz.1,GCA_015476015.1,,0,Bakersfield-11,SAMN16582177,644356
,OLeary,Bak11_SRR21131510,https://sra-pub-src-2.s3.amazonaws.com/SRR21131510/Bak11.native_fast5s.tar.gz.1,GCA_015476015.1,,0,Bakersfield-11,SAMN16582177,644356
,OLeary,Bak13,https://sra-pub-src-1.s3.amazonaws.com/SRR21131508/Bak13.native_fast5s.tar.gz.1,GCA_015475995.1,https://sra-pub-src-1.s3.amazonaws.com/SRR21131507/Bak13.amplified_fast5s.tar.gz.1,0,Bakersfield-13,SAMN16582178,644356
,OLeary,Bak14,https://sra-pub-src-2.s3.amazonaws.com/SRR21131505/Bak14.native_fast5s.tar.gz.1,GCA_015475975.1,,0,Bakersfield-14,SAMN16582179,644356
,OLeary,BB08-1,https://sra-pub-src-2.s3.amazonaws.com/SRR21131536/BB08.native_fast5s.tar.gz.1,GCA_018069665.1,https://sra-pub-src-2.s3.amazonaws.com/SRR21131535/BB08.amplified_fast5s.tar.gz.1,0,BB08-1,SAMN18677606,644357
,OLeary,De_Donno,https://sra-pub-src-2.s3.amazonaws.com/SRR21131477/DeDonno.native_fast5s.tar.gz.1,GCA_002117875.1,https://sra-pub-src-2.s3.amazonaws.com/SRR21131476/DeDonno.amplified_fast5s.tar.gz.1,0,De Donno,SAMN30370984,698414
,OLeary,Dixon,https://sra-pub-src-1.s3.amazonaws.com/SRR21131497/Dixon.native_fast5s.tar.gz.1,GCA_029626005.1,https://sra-pub-src-2.s3.amazonaws.com/SRR21131496/Dixon.amplified_fast5s.tar.gz.1,0,Dixon,SAMN30370985,644357
