,dataset,sample,NAT_source,ref_source,WGA_source,priority,run,barcode,assembly_contigs,assembly_coverage,ONT_reads,tax_id,scientific_name,lineage,lineage_save
1474,sepsis,K-E0407,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01168_Min106_RBK96/1152_23_3/20221130_1518_X5_FAV41678_876efb5a/fast5_pass/barcode87,cebitec:/prj/kinbiotics-seq/samples/K-E0407/medaka/consensus.fasta,,4,Run01168_Min106_RBK96,87,1.0,35.0,31835,40324,Stenotrophomonas maltophilia,Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group
4,sepsis,K-E0424,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run001175_MIN106_RBK11096/1152_24_1/20221215_1554_X3_FAV40612_8a706507/fast5_pass/barcode05,cebitec:/prj/kinbiotics-seq/samples/K-E0424/medaka/consensus.fasta,,4,Run001175_MIN106_RBK11096,05,22.0,8.0,8450,28197,Aliarcobacter butzleri,Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Arcobacteraceae; Aliarcobacter,cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Arcobacteraceae; Aliarcobacter
1372,sepsis,K-E0276,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01152_Min106_RBK110/1152_22_3/20221108_1705_X4_FAU82490_288692d8/fast5_pass/barcode81,cebitec:/prj/kinbiotics-seq/samples/K-E0276/medaka/consensus.fasta,,4,Run01152_Min106_RBK110,81,9.0,36.0,36561,48296,Acinetobacter pittii,Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
1375,sepsis,K-E0279,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01152_Min106_RBK110/1152_22_3/20221108_1705_X4_FAU82490_288692d8/fast5_pass/barcode84,cebitec:/prj/kinbiotics-seq/samples/K-E0279/medaka/consensus.fasta,,4,Run01152_Min106_RBK110,84,3.0,16.0,21658,158851,Trabulsiella,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
1328,sepsis,K-M0838,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01151_Min106_RBK110/1152_22_2/20221108_1704_X2_FAU82343_35063281/fast5_pass/barcode37,cebitec:/prj/kinbiotics-seq/samples/K-M0838/medaka/consensus.fasta,,4,Run01151_Min106_RBK110,37,16.0,47.0,183150,820,Bacteroides uniformis,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides
1437,sepsis,K-E0353,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01167_Min106_RBK96/1152_23_2/20221130_1514_X4_FAV39420_ba1a412f/fast5_pass/barcode50,cebitec:/prj/kinbiotics-seq/samples/K-E0353/medaka/consensus.fasta,,4,Run01167_Min106_RBK96,50,8.0,35.0,39934,147645,Paracoccus yeei,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Paracoccus,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Paracoccus
305,sepsis,K-L0199,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00977_Min106_RBK110/1152_Kinbiotics0004_2/20220405_1309_X2_FAS48244_55897f49/fast5_pass/barcode35,cebitec:/prj/kinbiotics-seq/samples/K-L0199/medaka/consensus.fasta,,4,Run00977_Min106_RBK110,35,1.0,77.0,101248,548,Klebsiella aerogenes,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
497,sepsis,K-E0058,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01014_Min106_RBK96/1152_0009/20220505_1632_X2_FAT29359_4088cbc0/fast5_pass/barcode04,cebitec:/prj/kinbiotics-seq/samples/K-E0058/medaka/consensus.fasta,,4,Run01014_Min106_RBK96,04,3.0,108.0,191935,630,Yersinia enterocolitica,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia
514,sepsis,K-E0086,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01014_Min106_RBK96/1152_0009/20220505_1632_X2_FAT29359_4088cbc0/fast5_pass/barcode21,cebitec:/prj/kinbiotics-seq/samples/K-E0086/medaka/consensus.fasta,,4,Run01014_Min106_RBK96,21,2.0,309.0,337677,1351,Enterococcus faecalis,Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus
266,sepsis,K-L0160,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00961_Min106_RBK110/1152_Kinbiotics_0003_3/20220322_1350_X3_FAS98735_c94c9bd9/fast5_pass/barcode78,cebitec:/prj/kinbiotics-seq/samples/K-L0160/medaka/consensus.fasta,,4,Run00961_Min106_RBK110,78,3.0,17.0,15147,293,Brevundimonas diminuta,Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas
