,dataset,sample,strain
1,ENA,ERR1309545,K-12 substr. ER2925
2,ENA,ERR1313294,ST38
3,ENA,ERR1474978,ST258
4,ENA,ERR1474981,ATCC 13883
5,ENA,ERR1611432,6600698
6,ENA,ERR1674581,K-12 substr. MG1655
7,ENA,ERR1894865,CECT 77711
8,ENA,ERR2438058,TM2540
9,ENA,ERR3861201,
10,ENA,ERR5191772,AI2764
11,ENA,ERR5243236,AI2613
12,ENA,ERR5260058,Xa1314ca
13,ENA,ERR5353220,AI2949
14,ENA,ERR5353275,AI3021
15,ENA,ERR5420946,AI2918
16,ENA,ERR5671659,AN2335
17,ENA,ERR10447806,SC469
18,ENA,ERR5859545,
19,ENA,ERR668747,H58
20,ENA,ERR7058027,
21,ENA,ERR7477284,
22,ENA,ERR7477323,
23,ENA,ERR762395,FSC996
24,ENA,ERR850259,K-12 substr. W3110
25,ENA,ERR868296,ATCC BAA-2146
26,ENA,ERR968973,K-12 substr. MG1655
27,ENA,ERR977574,BE1
28,ENA,ERR9793808,
29,ENA,ERR9793809,
30,ENA,ERR9951991,DH5a
31,ENA,ERR1474979,ATCC BAA-2146
32,ENA,ERR1474980,ATCC 700603
33,ENA,ERR1769944,621H
34,ENA,ERR1876249,GC77
35,ENA,ERR1898312,CECT 7771
36,ENA,ERR2137852,K-12 substr. MG1655
37,ENA,ERR2503999,
38,ENA,ERR2697194,ATCC 15692
39,ENA,ERR2868914,KP257
40,ENA,ERR3224043,T4
41,ENA,ERR3654115,
42,ENA,ERR3798592,
43,ENA,ERR4327118,CFBP 2044
44,ENA,ERR4327121,CFBP 8129
45,ENA,ERR4554022,LT2p22
46,ENA,ERR4593529,
47,ENA,ERR4656971,LMG 31885
48,ENA,ERR4699901,RH201207
49,ENA,ERR5159245,KPA171202 (H2)
50,ENA,ERR5260055,CFBP 6600
51,ENA,ERR5260057,1311a
52,ENA,ERR5295497,
53,ENA,ERR5295516,
54,ENA,ERR5295524,
55,ENA,ERR5332016,
56,ENA,ERR5353121,
57,ENA,ERR5353153,
58,ENA,ERR5353180,
59,ENA,ERR5353270,
60,ENA,ERR5420985,
61,ENA,ERR6415087,
62,ENA,ERR7671854,CCOS 2040
63,ENA,ERR850260,K-12 substr. W3110
64,ENA,ERR9951992,RN4220
65,ENA,ERR2503988,
66,ENA,ERR2603589,E3090
67,ENA,ERR2697193,ATCC 15692
68,ENA,ERR2868915,KV402
69,ENA,ERR3097879,
70,ENA,ERR10096274,R6x
71,ENA,ERR668746,H58
72,ENA,ERR11027272,W50
73,ENA,ERR11027274,W50
74,ENA,ERR2504003,
75,ENA,ERR2697195,ATCC 15692
76,ENA,ERR3378069,ATCC 700819
77,ENA,ERR3485550,
78,ENA,ERR3654117,
79,ENA,ERR3798589,
80,ENA,ERR4173916,
81,ENA,ERR4173917,
82,ENA,ERR4179765,
83,ENA,ERR4327117,CFBP 498
84,ENA,ERR4656970,LMG 31884
85,ENA,ERR4760465,
86,ENA,ERR5205857,
87,ENA,ERR5205861,
88,ENA,ERR5214392,
89,ENA,ERR5260054,CFBP 1159
90,ENA,ERR5260056,
91,ENA,ERR5420986,
92,ENA,ERR5420993,
93,ENA,ERR5671664,
94,ENA,ERR6226270,125703-2019
95,ENA,ERR6415088,
96,ENA,ERR668983,H58
97,ENA,ERR7850327,ST395
98,ENA,ERR868297,ATCC 700603
99,ENA,ERR5420941,
